Date,State,Region,Consumption,latitude,longitude
2019-01-02,Punjab,NR,119.9,31.52,75.98
2019-01-02,Haryana,NR,130.3,28.45,77.02
2019-01-02,Rajasthan,NR,234.1,26.45,74.64
2019-01-02,Delhi,NR,85.8,28.67,77.23
2019-01-02,UP,NR,313.9,27.6,78.05
2019-01-02,Uttarakhand,NR,40.7,30.3204,78.05
2019-01-02,HP,NR,30,31.1,77.1666
2019-01-02,J&K,NR,52.5,33.45,76.24
2019-01-02,Chandigarh,NR,5,30.72,76.78
2019-01-02,Chhattisgarh,WR,78.7,22.0904,82.16
2019-01-02,Gujarat,WR,319.5,22.2587,71.1924
2019-01-02,MP,WR,253,21.3004,76.13
2019-01-02,Maharashtra,WR,428.6,19.2502,73.1602
2019-01-02,Goa,WR,12.8,15.492,73.818
2019-01-02,DNH,WR,18.6,20.2666,73.0166
2019-01-02,"Andhra Pradesh",SR,164.6,14.7504,78.57
2019-01-02,Telangana,SR,204.2,18.1124,79.0193
2019-01-02,Karnataka,SR,206.3,12.5704,76.92
2019-01-02,Kerala,SR,72.7,8.90037,76.57
2019-01-02,"Tamil Nadu",SR,268.3,12.9204,79.15
2019-01-02,Pondy,SR,6.3,11.935,79.83
2019-01-02,Bihar,ER,82.3,25.7854,87.48
2019-01-02,Jharkhand,ER,24.8,23.8004,86.42
2019-01-02,Odisha,ER,70.2,19.8204,85.9
2019-01-02,"West Bengal",ER,108.2,22.5804,88.3299
2019-01-02,Sikkim,ER,2,27.3333,88.6166
2019-01-02,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-02,Assam,NER,21.7,26.75,94.2167
2019-01-02,Manipur,NER,2.7,24.8,93.95
2019-01-02,Meghalaya,NER,6.1,25.5705,91.88
2019-01-02,Mizoram,NER,1.9,23.7104,92.72
2019-01-02,Nagaland,NER,2.2,25.667,94.1166
2019-01-02,Tripura,NER,3.4,23.8354,91.28
2019-01-03,Punjab,NR,121.9,31.52,75.98
2019-01-03,Haryana,NR,133.5,28.45,77.02
2019-01-03,Rajasthan,NR,240.2,26.45,74.64
2019-01-03,Delhi,NR,85.5,28.67,77.23
2019-01-03,UP,NR,311.8,27.6,78.05
2019-01-03,Uttarakhand,NR,39.3,30.3204,78.05
2019-01-03,HP,NR,30.1,31.1,77.1666
2019-01-03,J&K,NR,54.1,33.45,76.24
2019-01-03,Chandigarh,NR,4.9,30.72,76.78
2019-01-03,Chhattisgarh,WR,78.8,22.0904,82.16
2019-01-03,Gujarat,WR,316.7,22.2587,71.1924
